"순위","서명","저자","출판사","출판년도","권","ISBN","ISBN부가기호","KDC","대출건수"
"100","아홉 명의 완벽한 타인들 ","지은이: 리안 모리아티 ;옮긴이: 김소정","한국경제신문 한경BP","2019","","9788947545211","03840","843.6","87"
"100","살인자의 기억법 :김영하 장편소설 ","지은이: 김영하","문학동네","2013","","9788954622035","03810","813.7","87"
"102","창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ","지은이: 요나스 요나손 ;옮긴이: 임호경","열린책들","2013","","9788932916194","03850","859.7","86"
"103","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","2","9788950974329","74900","980.2","85"
"103","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","5","9788950978358","74900","980.2","85"
"103","내게 무해한 사람 :최은영 소설 ","지은이: 최은영","문학동네","2018","","9788954651820","03810","813.7","85"
"103","나는 나의 주인 ","채인선 글 ;안은진 그림","토토북","2010","","9788964960035","73190","189","85"
"103","(흥분하지 않고 우아하게 리드하는) 말센스 ","셀레스트 헤들리 지음 ;김성환 옮김","스몰빅미디어","2019","","9791187165460","03190","802.56","85"
"103","박막례, 이대로 죽을 순 없다 :독보적 유튜버 박막례와 천재 PD 손녀 김유라의 말도 안 되게 뒤집힌 신나는 인생! ","박막례,김유라 지음","위즈덤하우스 미디어그룹","2019","","9791190065672","03810","326.7904","85"
"109","하마터면 열심히 살 뻔했다 :야매 득도 에세이 ","하완 지음","웅진씽크빅","2018","","9788901223032","03810","818","84"
"109","핵을 들고 도망친 101세 노인 :요나스 요나손 장편소설 ","지은이: 요나스 요나손 ;옮긴이: 임호경","열린책들","2019","","9788932919874","03850","859.7","84"
"109","(댄 애리얼리) 부의 감각 ","댄 애리얼리,이경식 옮김","청림출판","2018","","9788935212224","03320","327.2","84"
"112","마법의 설탕 두 조각","미카엘 엔데 글;유혜자 옮김","한길사","2001","","9788935652792","74850","853","83"
"112","아홉 살 마음 사전","박성우 (지은이), 김효은 (그림)","창비","2017","","9788936447014","","","83"
"112","숨 :테드 창 소설 ","지은이: 테드 창 ;옮긴이: 김상훈","북하우스 퍼블리셔스","2019","","9791164050277","03840","843.6","83"
"112","지금 이대로 좋다 ","법륜 지음 ;박정은 그림","정토출판","2019","","9791187297239","03810","199.1","83"
"116","21세기를 위한 21가지 제언 :더 나은 오늘은 어떻게 가능한가 ","지은이: 유발 하라리 ;옮긴이: 전병근","김영사","2018","","9788934982975","03900","909.6","82"
"116","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","10","9788950983369","74900","980.2","82"
"116","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","4","9788960863545","67400","408","82"
"119","엉덩이탐정 :뿡뿡 쪼그만 서장의 대위기!? ","트롤 글·그림 ;전경아 옮김","문학수첩리틀북","2017","3","9788959762088","77830","833.6","81"
"119","하늘 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2017","","9788966350759","74830","833.6","81"
"121","호모 데우스 :미래의 역사 ","지은이: 유발 하라리 ;옮긴이: 김명주","김영사","2017","","9788934977841","03900","331.544","80"
"121","기도의 막이 내릴 때 ","지은이: 히가시노 게이고 ;옮긴이: 김난주","재인","2019","","9788990982780","03830","833.6","80"
"121","흔한남매 2","흔한남매 (지은이), 백난도 (글), 유난희 (그림), 샌드박스 네트워크 (감수)","아이세움","2019","2","9791164132454","","","80"
"121","아홉 살 독서 수업 :부모가 알아야 할 초등 저학년 독서의 모든 것 ","한미화 지음","어크로스","2019","","9791190030137","03370","029.5","80"
"125","넛지 :똑똑한 선택을 이끄는 힘 ","리처드 탈러,안진환 옮김","웅진씽크빅","2009","","9788901093154","03320","321.89","79"
"125","오직 두 사람 :김영하 소설 ","지은이: 김영하","문학동네","2017","","9788954645614","03810","813.7","79"
"125","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","5","9788960867093","67400","408","79"
"125","파리의 아파트 :기욤 뮈소 장편소설 ","지은이: 기욤 뮈소 ;옮긴이: 양영란","밝은세상","2017","","9788984373358","03860","863","79"
"125","부의 인문학 - 슈퍼리치의 서재에서 찾아낸 부자의 길","브라운스톤 (지은이)","오픈마인드","2019","","9788995563502","","","79"
"125","알사탕","백희나 (지은이)","책읽는곰","2017","","9791158360375","","","79"
"125","에이트 =인공지능에 대체되지 않는 나를 만드는 법 /Eight ","이지성 지음","차이정원","2019","","9791188388905","03320","331.5412","79"
"132","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","44","9788950979300","77720","711.4","78"
"132","무례한 사람에게 웃으며 대처하는 법 :인생 자체는 긍정적으로 개소리에는 단호하게 ","정문정 지음","가나문화콘텐츠","2018","","9788957369364","03810","189.2","78"
"132","(이상한 과자 가게) 전천당","히로시마 레이코 글;김정화 옮김","길벗스쿨","2019","1","9791164060481","74830","833.6","78"
"132","여자 둘이 살고 있습니다 :혼자도 결혼도 아닌, 조립식 가족의 탄생 ","지은이: 김하나,황선우","위즈덤하우스","2019","","9791189709815","03810","818","78"
"132","죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이","지은이: 백세희","흔","2019","2","9791196394578","03810","818","78"
"137","책 먹는 여우","프란치스카 비어만 지음;김경연 옮김","김영사","2001","","9788934908067","73850","853","77"
"137","시간을 파는 상점 :김선영 장편소설 ","지은이: 김선영","자음과모음","2012","","9788954427173","43810","813.7","77"
"137","유럽도시기행","지은이: 유시민","아름다운사람들","2019","1","9788965135586","03900","982.02","77"
"137","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","9","9791162203149","67400","408","77"
"137","(이상한 과자 가게) 전천당","히로시마 레이코 글;김정화 옮김","길벗스쿨","2019","2","9791164060498","74830","833.6","77"
"142","바삭바삭 갈매기 ","전민걸 글·그림","한림출판사","2014","","9788970947273","77810","813.7","76"
"142","오베라는 남자 :프레드릭 배크만 장편소설 ","지은이: 프레드릭 배크만 ;옮긴이: 최민우","다산북스","2015","","9791130605210","03850","859.7","76"
"142","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","11","9791190182737","67400","408","76"
"145","위저드 베이커리 =구병모 장편소설 /Wizard bakery ","지은이: 구병모","창비","2009","","9788936433697","03810","813.7","75"
"145","옥상에서 만나요 :정세랑 소설집 ","지은이: 정세랑","창비","2018","","9788936437534","03810","813.7","75"
"145","13층 나무 집 ","앤디 그리피스 글 ;신수진 옮김","시공사","2015","","9788952773104","74840","843","75"
"145","오싹오싹 팬티! ","글: 에런 레이놀즈 ;옮김: 홍연미","토토북","2018","","9788964963678","77840","843","75"
"145","숨결이 바람 될 때 :서른여섯 젊은 의사의 마지막 순간 ","폴 칼라니티 지음 ;이종인 옮김","흐름출판","2016","","9788965961956","03840","848","75"
"145","(지적이고 아름다운 삶을 위한) 라틴어 수업 ","한동일 지음","흐름출판","2017","","9788965962205","03100","792.2","75"
"145","마력의 태동 :히가시노 게이고 소설 ","지은이: 히가시노 게이고 ;옮긴이: 양윤옥","현대문학","2019","","9788972759546","03830","833.6","75"
"145","좋은지 나쁜지 누가 아는가 ","지은이: 류시화 ;그림: 미로코 마치코","더숲","2019","","9791186900789","03810","814.62","75"
"153","시작의 기술 :침대에 누워서 걱정만 하는 게으른 완벽주의자를 위한 7가지 무기 ","개리 비숍 지음 ;이지연 옮김","웅진씽크빅","2019","","9788901230658","03320","189.1","74"
"153","91층 나무 집 ","앤디 그리피스 글 ;신수진 옮김","시공사","2018","","9788952786470","74840","843","74"
"153","부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법 ","엠제이 드마코 지음 ;신소영 옮김","북새통","2013","","9788994702346","13320","327.04","74"
"156","피프티 피플 :정세랑 장편소설 ","지은이: 정세랑","창비","2016","","9788936434243","03810","813.7","73"
"156","1일 1짠 돈 습관 :밥 먹듯 저축하는 '작은 부자'들의 재테크 생활 ","다음짠돌이 카페 슈퍼짠 12인,완소남김머찐님 지음","한경BP","2019","","9788947544986","03320","327.04","73"
"156","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","42","9788950975739","77720","711.4","73"
"156","104층 나무 집","앤디 그리피스 (지은이), 테리 덴톤 (그림), 신수진 (옮긴이)","시공주니어","2019","","9788952795090","","","73"
"156","7년의 밤 :정유정 장편소설 ","지은이: 정유정","은행나무","2011","","9788956604992","03810","813.7","73"
"156","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","3","9788960863163","67400","408","73"
"156","설민석의 한국사 대모험 12 - 조선의 발명품 편 : 특명! X맨의 정체를 밝혀라!","설민석, 스토리박스 (지은이), 정현희 (그림), 태건 역사 연구소 (감수)","아이휴먼","2019","12","9791188874460","","","73"
"163","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","43","9788950977306","77720","711.4","72"
"163","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","45","9788950980801","77720","711.4","72"
"163","Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화","글: 김미영 ;그림: 김정한","북이십일","2018-2019","9","9788950982188","74900","980.2","72"
"163","튜브, 힘낼지 말지는 내가 결정해 ","하상욱 지음","아르테","2019","","9788950982249","03810","818","72"
"163","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","1","9788960869646","67400","408","72"
"163","코스모스 :특별판 ","칼 세이건 지음 ;홍승수 옮김","사이언스북스","2006","","9788983711892","03400","443.1","72"
"163","지적 대화를 위한 넓고 얕은 지식","채사장 지음 ","한빛비즈","2014","","9788994120966","13100","001.3","72"
"163","그릿 :IQ, 재능, 환경을 뛰어넘는 열정적 끈기의 힘 ","앤절라 더크워스 지음 ;김미정 옮김","비즈니스북스","2016","","9791186805398","03190","325.211","72"
"171","밀크맨 :애나 번스 장편소설 ","지은이: 애나 번스 ;옮긴이: 홍한별","창비","2019","","9788936477837","03840","843.6","71"
"171","지하 100층짜리 집 ","글·그림: 이와이 도시오 ;옮긴이: 김숙","북뱅크","2011","","9788989863915","73830","833.6","71"
"171","난장이가 쏘아올린 작은 공:조세희 소설집","조세희","이성과 힘","2000","","9788995151204","03810","813.6","71"
"171","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","10","9791189938208","67400","408","71"
"171","50부터는 인생관을 바꿔야 산다 :이제 자존심, 꿈, 사람은 버리고 오직 나를 위해서만! ","사이토 다카시 지음 ;황혜숙 옮김","센시오","2019","","9791190356039","03190","199.6","71"
"176","신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ","마크 맨슨 지음 ;한재호 옮김","웅진씽크빅","2017","","9788901219943","03190","199.1","70"
"176","28 :정유정 장편소설 ","지은이: 정유정","은행나무","2013","","9788956607030","03810","813.7","70"
"176","사일런트 페이션트 :알렉스 마이클리디스 장편소설 ","지은이: 알렉스 마이클리디스 ;옮긴이: 남명성","해냄","2019","","9788965746898","03840","843.6","70"
"176","내가 죽인 남자가 돌아왔다 ","황세연 지음","교보문고","2019","","9791159099694","03810","813.62","70"
"176","설민석의 세계사 대모험 3 - 독일 편 : 전쟁과 평화","설민석, 잼 스토리 (지은이), 박성일 (그림)","단꿈아이","2019","3","9791189001322","","","70"
"181","(지랄발랄 하은맘의) 십팔년 책육아 ","김선미 지음","RHK(알에이치코리아)","2019","","9788925567921","13370","598.1","69"
"181","빨강머리 앤이 하는 말 :백영옥 에세이 ","지은이: 백영옥","arte(아르테)","2016","","9788950965693","03810","814.7","69"
"181","오직 한 사람의 차지 :김금희 소설 ","지은이: 김금희","문학동네","2019","","9788954657273","03810","813.7","69"
"181","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016-2019","6","9791162202425","67400","408","69"
"181","놓지 마 과학! 7 - 정신이 모험에 정신 놓다","신태훈|나승훈","위즈덤하우스","2018","7","9791162205624","","","69"
"181","추리 천재 엉덩이 탐정과 카레 사건","트롤 (지은이), 김정화 (옮긴이)","아이세움","2019","","9791164130764","","","69"
"181","완벽하지 않은 것들에 대한 사랑 :온전한 나를 위한 혜민 스님의 따뜻한 응원 ","혜민 지음 ;이응견 그림","수오서재","2016","","9791195322183","03810","818","69"
"188","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,홍거북","아울북","2005-2019","41","9788950973223","77720","711.4","68"
"188","총, 균, 쇠:무기·병균·금속은 인류의 운명을 어떻게 바꿨는가","재레드 다이아몬드 지음;김진준 옮김","문학사상사","2006","","9788970127248","03900","389","68"
"188","지적 대화를 위한 넓고 얕은 지식","채사장 지음","한빛비즈","2015","2","9788994120997","13100","001.3","68"
"188","말하기 독서법 :마음과 생각을 함께 키우는 독서 교육 ","김소영 지음","다산북스","2019","","9791130625850","03370","029.4","68"
"188","언스크립티드 :부의 추월차선 완결판 ","엠제이 드마코 지음 ;안시열 옮김","토트","2018","","9791187444213","13320","325.211","68"
"193","(코믹 메이플스토리) 수학도둑 :창의사고력 강화, 수리논술력을 키워 주는 스토리텔링 수학의 선구자!","글: 송도수 ;그림: 서정 엔터테인먼트","서울문화사","2015-2017","60","9788926384626","67410","410","67"
"193","(내 멋대로) 친구 뽑기 ","최은옥 글 ;김무연 그림","김영사","2016","","9788934993483","73810","813.7","67"
"193","보건교사 안은영 :정세랑 장편소설 ","지은이: 정세랑","민음사","2015","","9788937473098","04810","813.7","67"
"193","체리새우 : 비밀글입니다 - 제9회 문학동네청소년문학상 대상 수상작","황영미 (지은이)","문학동네","2019","","9788954654753","","","67"
"193","골든아워 :생과 사의 경계, 중증외상센터의 기록 ","지은이: 이국종","흐름출판","2018","2","9788965962830","04810","510.4","67"
"193","장수탕 선녀님 ","지은이: 백희나","책읽는곰","2012","","9788993242706","77810","813.7","67"
"193","이상한 손님","백희나","책읽는곰","2018","","9791158360801","","","67"
"193","(1일 1페이지, 세상에서 가장 짧은) 교양 수업 365 ","데이비드 S. 키더,허성심 옮김","위즈덤하우스 미디어그룹","2019","","9791190305679","03030","909","67"
